step,train_loss,val_loss,hellaswag,mmlu,arc,lr,grad_norm,tokens_per_sec,mfu,dt_ms
249,5.075816,,,,,1.680672e-03,0.3312,287488.33,0.527740,1823.68
250,5.076627,,,,,1.687395e-03,0.4177,287465.86,0.527699,1823.83
251,5.045425,,,,,1.694118e-03,0.3525,286429.76,0.525797,1830.42
252,5.090020,,,,,1.700840e-03,0.3707,287407.47,0.527592,1824.20
253,5.049217,,,,,1.707563e-03,0.3405,287540.96,0.527837,1823.35
254,5.045570,,,,,1.714286e-03,0.4326,287471.87,0.527710,1823.79
255,5.064333,,,,,1.721008e-03,0.5142,287545.66,0.527845,1823.32
256,5.031861,,,,,1.727731e-03,0.4362,287510.17,0.527780,1823.55
257,5.050228,,,,,1.734454e-03,0.3586,287570.51,0.527891,1823.16
258,5.052169,,,,,1.741176e-03,0.3266,287023.60,0.526887,1826.64
259,5.053108,,,,,1.747899e-03,0.2818,287518.44,0.527795,1823.49
260,4.985620,,,,,1.754622e-03,0.2674,286979.51,0.526806,1826.92
261,5.015785,,,,,1.761345e-03,0.2550,287596.24,0.527938,1823.00
262,4.965125,,,,,1.768067e-03,0.2630,287622.08,0.527986,1822.84
263,5.009607,,,,,1.774790e-03,0.2658,287344.45,0.527476,1824.60
264,4.996844,,,,,1.781513e-03,0.2532,287526.97,0.527811,1823.44
265,4.998263,,,,,1.788235e-03,0.2522,287586.08,0.527920,1823.06
266,4.965994,,,,,1.794958e-03,0.2535,287537.09,0.527830,1823.38
267,4.982466,,,,,1.801681e-03,0.2676,287641.91,0.528022,1822.71
268,4.978368,,,,,1.808403e-03,0.2528,287484.35,0.527733,1823.71
269,4.959908,,,,,1.815126e-03,0.3047,287739.88,0.528202,1822.09
270,4.987871,,,,,1.821849e-03,0.3156,287614.26,0.527971,1822.89
271,4.945394,,,,,1.828571e-03,0.3021,287615.46,0.527973,1822.88
272,4.962919,,,,,1.835294e-03,0.3003,287743.91,0.528209,1822.06
273,4.945762,,,,,1.842017e-03,0.2177,287606.13,0.527956,1822.94
274,4.965593,,,,,1.848739e-03,0.2441,286618.78,0.526144,1829.22
275,4.934512,,,,,1.855462e-03,0.2250,287405.41,0.527588,1824.21
276,4.911625,,,,,1.862185e-03,0.2476,287524.98,0.527807,1823.45
277,4.899513,,,,,1.868908e-03,0.2508,287219.29,0.527246,1825.39
278,4.889992,,,,,1.875630e-03,0.2218,286544.98,0.526008,1829.69
279,4.909015,,,,,1.882353e-03,0.2379,287354.10,0.527494,1824.54
280,4.886259,,,,,1.889076e-03,0.2481,287273.58,0.527346,1825.05
281,4.911123,,,,,1.895798e-03,0.2918,287385.27,0.527551,1824.34
282,4.858737,,,,,1.902521e-03,0.2408,287626.18,0.527993,1822.81
283,4.877028,,,,,1.909244e-03,0.2747,287435.38,0.527643,1824.02
284,4.855769,,,,,1.915966e-03,0.2271,287202.86,0.527216,1825.50
285,4.856743,,,,,1.922689e-03,0.1960,287406.46,0.527590,1824.20
286,4.852329,,,,,1.929412e-03,0.2610,287339.61,0.527467,1824.63
287,4.848918,,,,,1.936134e-03,0.3137,287482.58,0.527730,1823.72
288,4.874837,,,,,1.942857e-03,0.3685,287334.54,0.527458,1824.66
289,4.889688,,,,,1.949580e-03,0.3133,287470.74,0.527708,1823.80
290,4.840605,,,,,1.956303e-03,0.3255,287440.91,0.527653,1823.99
291,4.878147,,,,,1.963025e-03,0.3611,287342.91,0.527473,1824.61
